"repo","commit","insertion","deletion"
"esaps","22","2975","887"
"esc","47","13336","2235"
"esmisc","69","4292","3514"
"esmprep","84","17873","996"
"esquisse","120","9060","2303"
"essurvey","246","23243","12416"
"estatapi","95","5822","1443"
"ESTER","139","8285","6358"
"estimatr","967","79486","77439"
"estudy2","239","13095","6285"
"esvis","296","11990","5493"
"ETAS","131","13817","1712"
"ETLUtils","53","4544","1950"
"etseed","108","5637","1885"
"eulerr","1217","98125","35292"
"europepmc","171","17413","8361"
"eurostat","782","203111","167854"
"eva","81","8344","3653"
"evaluate","353","4744","2547"
"EventDetectR","88","10090","7724"
"evoper","61","12197","4831"
"ewoc","206","12876","7920"
"excel.link","122","44580","32933"
"excerptr","192","10841","10808"
"exCon","53","11919","7670"
"exif","11","1592","197"
"exifr","57","414863","26889"
"exiftoolr","86","335764","330978"
"ExPanDaR","180","36604","11940"
"expands","13","14135","9542"
"ExpDE","186","7370","3271"
"experiment","382","27601","12623"
"expint","85","4940","1616"
"explor","300","11149","5014"
"exprso","494","49766","29680"
"expsmooth","29","8927","1436"
"expss","1110","153999","64033"
"extraDistr","360","58340","26910"
"extrafont","182","59717","1381"
"extrafontdb","6","116","49"
"extraTrees","225","10112","3023"
"extremeStat","417","16457","9137"
"extremevalues","20","2416","135"
"exuber","159","30797","10422"
"ez","194","12366","3291"
"ezec","32","837","89"
"ezknitr","76","3409","1733"
"ezpickr","45","8244","3209"
"fabMix","108","275262","15298"
"fabricatr","379","35158","16987"
"facerec","36","11088","5247"
"facilitation","394","162636","146190"
"factorMerger","421","112766","46461"
"FAdist","11","1472","72"
"fail","95","3568","2128"
"fakemake","242","12915","12898"
"FAmle","18","7507","3731"
"fansi","743","25912","10332"
"FAOSTAT","99","20785","8792"
"faoutlier","142","14686","8597"
"far","10","5274","548"
"farff","199","1192787","1190927"
"FarmSelect","39","4909","2312"
"FarmTest","87","6980","2824"
"farver","22","2813","513"
"fasjem","34","8625","3609"
"fastAdaboost","18","2249","441"
"fastcox","25","5571","1192"
"fastDummies","42","8577","1898"
"fasterElasticNet","80","1900","737"
"fasterize","51","3559","1008"
"fastGHQuad","62","2269","752"
"fastR2","304","254566","24568"
"fastrtext","189","20046","8423"
"fauxpas","49","11138","2789"
"fbar","280","39574","8977"
"fbRads","266","6964","2741"
"fc","47","4225","1051"
"fcuk","65","3925","2700"
"fdadensity","14","1181","131"
"fdapace","1007","70940","30236"
"FDboost","184","91575","15018"
"fdcov","37","6652","641"
"feather","131","23456","4209"
"febr","319","23906","6806"
"FedData","437","1224521","14390"
"federalregister","17","1042","304"
"fedreporter","20","1604","122"
"feedeR","63","766","185"
"fergm","73","4951","2738"
"ffbase","479","31635","19433"
"ffmanova","74","6944","2341"
"ffmetadata","126","18216","12628"
"fftwtools","79","25413","516"
"fieldRS","111","9747","5646"
"fiery","172","6482","2470"
"filehash","278","9563","5032"
"filehashSQLite","64","677","263"
"filelock","54","2382","539"
"filematrix","69","10130","4055"
"fileplyr","10","1325","32"
"filesstrings","158","43453","9724"
"finalfit","232","3248915","3192775"
"FinancialInstrument","447","28310","11008"
"FinCal","33","5830","1918"
"finch","93","8874","1909"
"FinCovRegularization","22","2194","360"
"findpython","43","947","292"
"findviews","130","9456","4784"
"fingerPro","13","2073","55"
"fingertipsR","275","7988","4459"
"finreportr","56","4498","828"
"FiRE","116","11342","791"
"fitbitScraper","173","1759","554"
"fitdc","12","1392","8"
"fitODBOD","152","70180","7875"
"fitur","186","16010","6838"
"fivethirtyeight","292","1713881","349212"
"flacco","267","32404","13954"
"FLAME","105","468913","16626"
"flatxml","7","10674","10"
"flexsurv","230","55006","15264"
"flexsurvcure","26","2070","496"
"flextable","377","93967","58707"
"flifo","15","1697","613"
"float","399","230326","7191"
"flobr","16","4176","520"
"flora","91","22486","20794"
"flowr","741","98364","78106"
"FlowRegEnvCost","27","54608","18285"
"flows","54","7231","2333"
"fmbasics","136","17580","2667"
"fmdates","79","11872","2019"
"fmlogcondens","27","8087","1610"
"foghorn","325","11699","4925"
"fontcm","25","89633","31924"
"fontHind","8","1825","1198"
"fontMPlus","10","6485","4292"
"foolbox","97","26678","3187"
"forcats","235","54798","50436"
"forecast","1985","134533","68903"
"ForecastComb","140","28604","9628"
"forecastHybrid","589","13095","6045"
"forecastSNSTS","33","4313","1524"
"forestControl","148","2642","1167"
"forestmangr","115","20726","7304"
"forestr","192","317700","44699"
"ForestTools","43","7159","3967"
"formattable","308","14487","7006"
"formula.tools","61","6168","3274"
"foto","24","5929","906"
"fourierin","218","13227","3664"
"fourPNO","19","4748","2583"
"fpCompare","121","6199","978"
"fpmoutliers","20","19442","905"
"fpp2","96","1008605","2777"
"frailtyEM","284","21336","13774"
"frailtySurv","245","3186878","15486"
"frair","124","6456","2373"
"franc","21","6485","201"
"frapplot","15","2136","1174"
"fredr","140","33665","10039"
"freegroup","199","3515","740"
"FreqProf","126","4501","1603"
"frequency","66","33418","1346"
"frequencyConnectedness","53","14411","4345"
"fromo","388","599569","375336"
"fs","4448","565478","276555"
"FSA","880","254954","164118"
"FSAdata","99","361089","179082"
"FSelectorRcpp","452","25902","12427"
"ftDK","5","1737","1283"
"FTRLProximal","107","2503","852"
"fulltext","534","33337","20895"
"fun","104","6107","3743"
"funchir","85","1544","870"
"functools","279","24091","4223"
"funData","320","23374","8053"
"funique","30","3475","1369"
"funr","75","1493","386"
"funrar","339","10398","3720"
"furrr","85","10862","2361"
"fusionclust","38","915","65"
"futility","13","2597","370"
"future","2053","66059","39657"
"future.apply","178","8348","2150"
"future.BatchJobs","840","24075","16938"
"future.batchtools","226","9891","2824"
"future.callr","114","4554","1228"
"fuzzr","126","2725","1112"
"FuzzyAHP","59","5604","2205"
"fuzzywuzzyR","24","6993","1444"
"fxtract","296","59261","39054"
"g3viz","48","267913","99399"
"GA","43","33066","8367"
"GADMTools","61","9516","4380"
"galgo","10","108","56"
"gambin","125","4128","1445"
"gamboostLSS","389","84952","25384"
"gamCopula","130","47866","31122"
"gameofthrones","34","50172","780"
"gamesGA","62","2276","655"
"gamlr","233","17905","15064"
"ganalytics","909","103090","42113"
"GAparsimony","97","19037","1292"
"GAS","128","41587","20222"
"gastempt","161","30913","18643"
"gatepoints","23","879","453"
"gbm","119","3020175","9809"
"gbp","13","14264","1608"
"gbutils","16","7974","489"
"GCalignR","558","27692","16213"
"gcdnet","52","12951","6823"
"gcForest","3","1726","184"
"GDINA","65","80866","18626"
"GeDS","7","8550","5"
"gee4","52","9208","4701"
"geex","548","65032","33162"
"gemtc","621","26678","12348"
"genalg","54","2614","348"
"gender","315","6856","4840"
"genderBR","21","2058","801"
"genderizeR","194","6309","2160"
"genemodel","20","870","387"
"generator","26","4005","533"
"generics","114","11097","1574"
"geniusr","102","5924","1026"
"genomic.autocorr","22","2365","57"
"genotypeR","102","89825","36551"
"gensvm","97","6291","1729"
"geoaxe","33","1568","259"
"geodist","84","9057","1980"
"geoelectrics","87","1753991","557642"
"geogrid","95","5370","3127"
"geojson","142","34867","2269"
"geojsonio","631","61661","11656"
"geojsonlint","69","39769","3017"
"geojsonR","6","8818","2998"
"GeomComb","140","28604","9628"
"geomedb","36","1069","575"
"geometa","431","81463","9982"
"geomnet","367","137607","10166"
"GeoMongo","29","62595","1510"
"geonapi","58","2855","405"
"geoops","128","44045","18986"
"geoparser","76","1892","655"
"geosapi","148","10841","1892"
"geotopbricks","52","26953","10553"
"geozoo","122","5985","2704"
"gepaf","9","267","16"
"GERGM","808","35223","11806"
"germinationmetrics","96","35755","14905"
"gestalt","879","18397","11214"
"GetDFPData","64","15538","1648"
"GetHFData","31","9169","2376"
"gethr","13","12054","1702"
"GetITRData","32","5394","2537"
"getlandsat","76","2703","562"
"GetLattesData","52","5731","839"
"getmstatistic","77","3747","981"
"getopt","35","2060","509"
"GetoptLong","189","21845","11001"
"getPass","159","11530","1956"
"getProxy","37","878","210"
"getTBinR","260","145714","123932"
"GetTDData","14","4024","650"
"gfer","102","17120","12280"
"ggallin","37","3473","979"
"ggalluvial","385","36962","19060"
"GGally","1849","190040","117732"
"ggalt","131","14170","6050"
"gganimate","328","12060","3675"
"ggbeeswarm","208","4731","2633"
"ggChernoff","39","1126","263"
"ggconf","33","5749","3440"
"ggdag","152","32764","10122"
"ggdendro","110","10883","6291"
"ggdistribute","34","13024","7570"
"ggdmc","9","38365","10496"
"gge","29","5031","2122"
"ggedit","222","95023","15698"
"ggeffects","358","72062","50315"
"ggetho","687","4662","1837"
"ggExtra","207","38173","14537"
"ggfittext","101","6655","2304"
"ggfocus","23","1074","354"
"ggformula","613","109016","29550"
"ggfortify","341","24083","10360"
"gggenes","85","11844","3861"
"ggghost","47","3040","1286"
"gghalfnorm","16","373","71"
"gghighlight","266","9612","3452"
"ggimage","72","2798","837"
"gginference","12","2727","680"
"GGIR","797","765338","45772"
"ggiraph","362","81972","37705"
"ggiraphExtra","74","10464","3464"
"ggjoy","115","21121","19720"
"gglasso","70","24718","9676"
"gglogo","97","560174","111805"
"ggloop","327","19659","5011"
"gglorenz","19","2445","138"
"ggmap","378","28904","15309"
"ggmcmc","289","7882","2818"
"ggmosaic","297","209716","17505"
"ggparallel","77","26344","1302"
"ggparliament","303","22244","14124"
"ggperiodic","52","8211","500"
"ggplot2","4234","601925","407998"
"ggplotAssist","54","6579","1990"
"ggplotgui","59","2395","1266"
"ggplotify","9","848","87"
"ggpol","138","6858","1904"
"ggpolypath","44","12019","1673"
"ggpval","74","1848","747"
"ggquickeda","84","21471","4665"
"ggquiver","47","854","246"
"ggRandomForests","344","102048","82076"
"ggrepel","298","13977","6767"
"ggridges","168","28189","8649"
"ggsci","125","24425","6671"
"ggseqlogo","33","31942","11149"
"ggsignif","89","1473","307"
"ggsn","101","4875","1485"
"ggsolvencyii","146","38737","20196"
"ggsom","38","11356","2170"
"ggspatial","131","13249","8195"
"ggswissmaps","49","1477","487"
"ggThemeAssist","229","3464","1868"
"ggthemes","645","96375","58403"
"ggTimeSeries","22","5847","2099"
"GGUM","53","12666","6610"
"ggvoronoi","79","3152","662"
"ggwordcloud","102","11883","4427"
"gh","123","2818","892"
"gibble","55","4797","1189"
"gifski","58","2357","1127"
"gim","21","4680","1271"
"gimms","184","8975","5151"
"giphyr","37","1561","769"
"gistr","332","20794","5598"
"git2r","2508","340945","133176"
"gitgadget","214","53055","6885"
"githubinstall","157","15053","4031"
"gk","38","3038","676"
"GK2011","14","905","101"
"glm.deploy","18","3397","454"
"glmbb","19","11494","355"
"GLMMadaptive","226","33039","16646"
"glmmboot","32","3754","1492"
"glmmfields","393","17294","10489"
"glmmsr","375","16346","5113"
"glmnetUtils","71","5224","1219"
"glmvsd","73","8402","7630"
"GlobalOptions","110","5226","2110"
"globals","374","11123","6355"
"glue","275","31531","3412"
"gmailr","179","6634","3273"
"gmapsdistance","165","5964","1767"
"gmat","208","23074","12184"
"GMCM","400","14092","4356"
"GMSE","1415","502059","248864"
"gnm","547","946605","346435"
"gnorm","18","1173","412"
"goeveg","73","3484","1092"
"gofastr","75","3689","1118"
"goldi","281","5155955","4826150"
"googleComputeEngineR","434","93376","33111"
"googledrive","592","100214","33759"
"googleLanguageR","230","158469","123750"
"googlenlp","82","3484","612"
"googlePublicData","124","18114","13173"
"googlesheets","798","90179","51115"
"googleVis","557","111493","94851"
"gower","66","2680","569"
"GPareto","40","7965","336"
"gpg","220","9334","7144"
"gppm","122","12867","8374"
"GPrank","21","6880","449"
"gqlr","526","65425","37029"
"gradDescent","5","681","3"
"grade","5","1372","27"
"gradientPickerD3","21","30084","28036"
"gramEvol","112","9682","2828"
"GRANBase","265","30509","18964"
"GRANCore","15","3812","940"
"grapes","22","835","218"
"grapherator","73","4940","1309"
"graphframes","77","3242","761"
"graphql","39","16285","4175"
"gratia","564","95432","27345"
"graticule","83","4315","1091"
"grattan","1864","3235856","380321"
"grec","40","1785","1001"
"gremlin","226","15737","10269"
"greport","124","11730","1979"
"greta","1194","137561","81524"
"grex","70","6600","777"
"greybox","364","17961","5470"
"grf","1421","325691","137873"
"gridGraphics","189","62790","52407"
"gridsampler","362","20188","3391"
"groupedstats","95","47117","16963"
"groupICA","9","2744","215"
"GroupSeq","28","17283","7111"
"growthcurver","27","2992","504"
"growthmodels","46","4297","1053"
"growthrates","210","20485","9751"
"grpreg","121","18108","10686"
"grpregOverlap","107","3356","1127"
"grpSLOPE","159","7148","2710"
"gscounts","31","5971","2410"
"gsheet","81","1015","396"
"GSODR","1817","290232","225494"
"gstat","153","42418","7539"
"gsubfn","100","5156","1684"
"gsw","482","138027","107021"
"gt4ireval","36","2711","1633"
"gtrendsR","449","9333","6484"
"guess","145","15478","5370"
"GUILDS","59","6205","2727"
"gustave","370","19222","10394"
"gutenbergr","70","133433","80760"
"gvc","192","3072","1128"
"gvcR","3","3100","226"
"gwdegree","35","3183","1537"
"gWidgets2","247","35263","14230"
"gWidgets2tcltk","189","63077","3511"
"gym","27","10611","4820"
"h2o","24171","3576026","2144510"
"h2o4gpu","2115","328059","190952"
"hablar","39","6256","1041"
"hail","8","338","87"
"HandTill2001","19","1651","1650"
"happybiRthday","11","250","49"
"HARModel","53","7116","2319"
"harrypotter","162","1804326","40343"
"HARtools","93","70191","492"
"hashids","31","1424","254"
"hashmap","102","19729","3884"
"hashr","26","722","69"
"hasseDiagram","12","823","96"
"haven","583","78695","40649"
"hazer","25","2435","575"
"hcandersenr","33","961","338"
"hddtools","170","1135544","25325"
"hdf5r","172","278761","10601"
"hdme","102","4462","1369"
"hdnom","156","56155","24605"
"hdrcde","56","19720","10222"
"hds","32","1543","146"
"heatmaply","458","16089","6008"
"heatwaveR","340","229260","208019"
"helixvis","142","5810","576"
"hellno","47","6672","4479"
"helminthR","102","8004","3587"
"helsinki","144","10075","5289"
"HEMDAG","44","48121","13014"
"here","171","9320","1045"
"hesim","339","99607","52696"
"heuristica","1001","182666","167964"
"hexbin","21","11015","398"
"hexSticker","151","2089","798"
"HGNChelper","45","9744","694"
"hgutils","160","11456","8118"
"HHG","13","18963","1524"
"HiClimR","320","10364","4750"
"HierDpart","18","5728","2786"
"hierfstat","134","38159","3917"
"highlight","306","113253","61761"
"highlightHTML","87","6949","2354"
"highr","128","1263","344"
"hillmakeR","23","1355","747"
"hillR","77","4779","2185"
"HIMA","57","2721","1972"
"hIRT","57","2121","642"
"historydata","72","32311","334"
"hit","177","5715","2945"
"hitandrun","154","6472","3145"
"HiveR","50","32074","7094"
"HK80","10","2024","153"
"HLMdiag","135","16090","10131"
"HMDHFDplus","105","4341","1409"
"hmi","54","84555","941"
"Hmisc","1504","141706","61449"
"hms","321","11600","1018"
"hoardr","62","5694","1092"
"hogsvdR","21","1415","825"
"homologene","75","892109","342780"
"homomorpheR","13","2957","1446"
"hpiR","219","30094","14132"
"hrbrthemes","115","16286","3864"
"HRM","53","24045","10336"
"hsm","7","1623","82"
"htdp","49","322442","428"
"htm2txt","2","1720","0"
"htmltab","100","10331","2474"
"htmltidy","54","87843","6981"
"htmltools","193","6812","1659"
"htmlwidgets","443","8052","2853"
"httpcache","68","3921","1967"
"httpcode","42","1557","617"
"httping","56","2091","1270"
"httptest","186","9896","3312"
"httpuv","567","252304","81920"
"httr","985","65162","43257"
"hues","20","1265","850"
"humanFormat","24","552","154"
"humaniformat","38","2259","328"
"humanize","44","4718","847"
"humidity","27","12536","10888"
"hunspell","270","1102895","294055"
"HURDAT","145","87790","2269"
"hutils","368","26307","5216"
"hutilscpp","175","9659","2410"
"huxtable","1671","142307","71509"
"hybridModels","154","4773","1002"
"HydeNet","271","48097","23045"
"hydroGOF","218","21735","9896"
"hydroPSO","266","56922","41130"
"hydroscoper","276","23386","13085"
"hydrostats","295","15108","12357"
"hydroTSM",NA,NA,NA
"hyfo","169","42787","26454"
"hyper2","218","18367","1409"
"hypothesisr","101","1582","252"
"IalsaSynthesis","123","14863","3398"
"IBCF.MTME","135","6814","4258"
"ibm","11","1369","427"
"ibmsunburst","54","8239","2102"
"ICAOD","74","44259","25255"
"ICC","16","919","351"
"iccbeta","34","2460","1005"
"icd","2317","1104508","780514"
"ICD10gm","97","856016","1270904"
"icr","15","7151","972"
"idefix","210","12002","4509"
"idendr0","101","4655","481"
"ids","58","3314","579"
"idx2r","38","743","255"
"ifaTools","100","17917","1988"
"ifctools","52","4649","1912"
"IGP","121","39417","2115"
"iheatmapr","105","57123","12353"
"ijtiff","106","34967","9006"
"imager","478","396730","202166"
"imagerExtra","174","9646","2905"
"imagine","45","4525","2787"
"imbalance","125","16344","4764"
"IMFData","30","1929","494"
"imguR","119","6366","1365"
"iml","498","25022","15577"
"immer","21","25552","11824"
"Immigrate","10","3278","696"
"IMP","5","1154","27"
"implyr","179","6084","2213"
"import","40","3341","757"
"importar","25","205","49"
"imputeR","71","595117","590523"
"imputeTS","117","18470","4522"
"imsig","16","868","130"
"incgraph","21","2220","187"
"IncucyteDRC","46","6082","951"
"IndianTaxCalc","15","1004","8"
"INDperform","256","29214","8279"
"inferr","263","51210","27189"
"infix","6","1430","46"
"influenceR","104","97452","94013"
"influxdbr","226","11200","7334"
"infoDecompuTE","55","10935","5555"
"InformativeCensoring","50","7572","277"
"infuser","51","1572","377"
"ini","12","366","57"
"injectoR","136","2199","1181"
"inpdfr","77","6767","2675"
"inplace","25","3263","285"
"insect","248","35794","27358"
"InSilicoVA","151","30582","6096"
"installr","401","31471","16602"
"instaR","95","2432","688"
"intercure","84","5829","2815"
"interep","36","3010","742"
"intergraph","176","8507","2611"
"interlineaR","45","83471","9830"
"internetarchive","57","1878","574"
"intervals","16","4611","79"
"IntrinioStockAPI","19","492","200"
"intrval","137","3236","1175"
"intsvy","352","21565","6551"
"investr","296","40351","26426"
"invgamma","30","973","159"
"ipc","65","6124","2214"
"ipdw","150","15980","3129"
"ipfp","11","418","58"
"iprior","505","32934","20263"
"iptmnetr","53","19271","484"
"iptools","189","141268","130752"
"ipumsr","464","54773","12644"
"IQCC","40","10658","2022"
"ircor","21","1022","90"
"isdparser","61","5741","1660"
"IsingSampler","31","3304","971"
"isoband","114","10020","4377"
"IsoriX","789","57442","21661"
"IsoSpecR","687","72580","12598"
"iterpc","171","19041","14986"
"itertools2","90","6474","1188"
"jaatha","1044","56734","43903"
"jagsUI","145","4885","2357"
"janeaustenr","76","1035","219"
"janitor","671","38961","16557"
"jaod","34","8328","626"
"jcolors","66","18806","12976"
"jdx","75","11788","2895"
"jeek","13","7820","1719"
"jetpack","333","5876","4116"
"jiebaR","399","1979719","1023441"
"jiebaRD","6","1759","8"
"JMbayes","257","23693","4854"
"jmcm","79","21236","15561"
"jmotif","466","1809939","546598"
"joineR","205","20212","7110"
"joineRmeta","35","28845","12250"
"joineRML","357","210472","6607"
"JointAI","317","39088","13645"
"jointDiag","9","1287","23"
"JointNets","34","73404","64241"
"jointseg","235","36069","14640"
"joinXL","31","1274","279"
"jose","76","2131","636"
"jpmesh","220","124538","4618"
"jpndistrict","189","58270","4128"
"jqr","247","105722","99650"
"jrich","56","11506","8780"
"jrvFinance","5","4540","140"
"js","47","36219","34927"
"jskm","82","8320","829"
"jsonld","40","31296","10517"
"jsonvalidate","29","2380","136"
"jsr223","174","115248","97982"
"jstable","127","29086","3839"
"jstor","626","43305","10074"
"jsTree","85","63597","18546"
"jug","170","13594","3087"
"JuliaCall","889","41476","22703"
"junctions","71","5943","3356"
"JuniperKernel","343","66479","33392"
"junr","62","2694","776"
"jvcoords","20","3607","1496"
"JWileymisc","64","12673","2974"
"jwutil","229","16404","8653"
"kableExtra","516","62113","19599"
"kader","41","7500","1052"
"kamila","120","7945","1617"
"kde1d","70","6053","1627"
"kdecopula","271","18314","7590"
"kdetrees","33","17417","3526"
"kdevine","104","11912","2630"
"kdtools","101","14620","6557"
"kehra","93","34921","5030"
"kelvin","56","2900","1789"
"kerasformula","131","5695","1639"
"kerasR","86","13116","3126"
"kernelboot","124","20601","16852"
"KernelKnn","27","5902","509"
"KeyboardSimulator","71","4844","2455"
"keyholder","41","13080","2474"
"keypress","41","1326","503"
"keyring","197","8635","2717"
"kfda","1","708","0"
"kfigr","25","1902","722"
"kgschart","99","23694","9377"
"khroma","80","3995","589"
"kimisc","555","13834","7168"
"kitagawa","128","11840","5520"
"kknn","52","8288","457"
"kmer","44","15859","12632"
"kmeRs","143","30316","3630"
"kmi","108","2839","1063"
"KnapsackSampling","9","1052","32"
"knitcitations","201","18437","15212"
"knitrBootstrap","226","108773","91004"
"knitrProgressBar","92","4787","401"
"knnp","49","3168","643"
"Knoema","59","6560","3805"
"knor","168","23577","13930"
"kntnr","39","4199","352"
"kokudosuuchi","261","25943","1610"
"komadown","150","9722","2076"
"komaletter","35","1603","211"
"konfound","120","15307","7139"
"KoNLP","241","397219","386341"
"KraljicMatrix","46","6512","1259"
"KRIG","164","9090","5251"
"kselection","46","1972","675"
"KSgeneral","130","29832","40"
"kwb.hantush","32","14063","1304"
"labelled","217","515767","3911"
"labstats","7","32833","22118"
"LaF","120","11166","2740"
"lagged","13","11740","421"
"LAGOSNE","522","43248","11730"
"LAM","20","11689","5716"
"landscapemetrics","1084","262566","187524"
"landscapeR","51","4654","1579"
"landscapetools","153","17437","13282"
"languagelayeR","32","9627","374"
"languageserver","288","8935","3472"
"lans2r","94","9455","3135"
"LaplacesDemon","183","84834","19803"
"largeList","47","12694","6290"
"lassopv","6","1009","55"
"later","140","7843","3993"
"latex2exp","48","4626","2220"
"lava","1273","96336","53547"
"lava.tobit","89","2903","1179"
"lavaan.shiny","9","3115","1532"
"lavaanPlot","21","1165","253"
"lavaSearch2","235","69199","42698"
"lawn","419","75548","48254"
"lazyrmd","75","910","300"
"lazysql","43","1173","192"
"lba","18","21070","9534"
"LBSPR","137","23750","7096"
"LCAvarsel","9","1880","69"
"ldat","42","4548","351"
"ldatuning","40","1676","658"
"LDAvis","299","581947","464090"
"ldbod","65","3280","2284"
"leabRa","155","9510","4779"
"LeafArea","79","12776","11905"
"leaflet","946","439677","63229"
"leaflet.esri","69","58120","25745"
"leaflet.extras","245","361285","160601"
"leafletR","283","38719","8113"
"leanpubr","20","9028","310"
"learningCurve","49","10699","353"
"learnPopGen","57","1874","376"
"learnr","649","122336","21396"
"ledger","122","3564","1368"
"leiden","197","4482","2052"
"lemon","188","13538","4455"
"LendingClub","76","19086","6404"
"letsR","280","512679","19671"
"lexicon","117","17960","4796"
"LexisNexisTools","172","16278","9427"
"LexisPlotR","90","9389","2081"
"lexRankr","147","4145","1348"
"lfda","96","2186","582"
"lfe","10","30952","785"
"lhmixr","43","3357","780"
"lhs","171","184011","119911"
"liayson","3","2634","817"
"LiblineaR.ACF","13","7029","840"
"librarian","125","4885","1187"
"librarysnapshot","10","975","170"
"libsoc","226","65192","5900"
"lidR","1585","179014","117254"
"lifecontingencies","190","27440","10900"
"liftr","180","16031","3165"
"liger","33","3382","1209"
"LightningR","27","1071","118"
"lightsout","36","2946","488"
"likert","149","8631","3206"
"lilikoi","7","3446","64"
"linbin","29","7964","5030"
"lindia","65","7207","5634"
"lineup","204","10778","5799"
"lingtypology","398","1590007","1331708"
"linguisticsdown","108","4862","445"
"LinkageMapView","32","5503","745"
"LinkedMatrix","254","9325","5257"
"linkprediction","126","3869","1837"
"lintools","85","4981","1008"
"lintr","494","18584","7545"
"liqueueR","24","827","375"
"liquidSVM","45","210684","2355"
"listarrays","120","13846","5211"
"listenv","246","9079","3486"
"listviewer","91","33330","28089"
"listWithDefaults","17","195","28"
"liteq","48","2993","281"
"live","329","21182","9616"
"livechatR","6","943","7"
"lme4","2198","140238","47664"
"lmerTest","141","15657","2537"
"lmm","268","115749","5394"
"lmmpar","76","3196","1852"
"lmPerm","9","6540","1274"
"lmQCM","20","731","218"
"lmSubsets",NA,NA,NA
"lobstr","166","5444","1634"
"localICE","61","2190","1173"
"localIV","12","1352","35"
"loder","51","9446","372"
"log4r","91","2715","1266"
"logbin","94","4877","1297"
"logger","238","6415","2154"
"logging","177","8130","4622"
"loggit","65","2364","1265"
"loggle","267","12878","9543"
"logisticPCA","109","8328","4373"
"logisticRR","18","4259","621"
"logmult","325","18842","6848"
"lognorm","33","4216","1063"
"lolog","119","32375","15774"
"lolR","320","34957","8540"
"loon","471","357064","25872"
"lorentz","316","36662","14321"
"LowWAFOMNX","9","2524","111"
"LowWAFOMSobol","8","2499","109"
"lplyr","21","2104","538"
"LPWC","295","13709","1895"
"lrequire","11","1701","582"
"lrgs","39","1857","974"
"lslx","288","27506","12899"
"lsm","40","2336","1688"
"lspls","44","1964","546"
"ltm","13","11941","95"
"ltmle","173","17841","9463"
"ltxsparklines","13","1214","138"
"lubridate","1533","307965","127199"
"lucid","38","9088","2068"
"LUCIDus","219","17100","10735"
"lumberjack","55","1954","357"
"lutz","83","2169","996"
"lvec","139","214165","208683"
"lvm4net","18","6954","256"
"lvmcomp","18","5360","695"
"LW1949","143","9518","4622"
"lwgeom","201","84886","12888"
"m2b","19","3437","993"
"MachineShop","497","31714","14616"
"maditr","52","9078","3621"
"madness","134","24370","3843"
"mafs","62","1886","501"
"magic","15","5279","32"
"magicfor","31","3207","895"
"magick","842","24038","12882"
"magicLamp","12","1047","6"
"mailR","87","1306","524"
"makedummies","26","1659","464"
"MakefileR","214","4451","2979"
"makeParallel","598","20519","8266"
"malariaAtlas","645","17621","7918"
"MALDIquant","565","29458","13510"
"MALDIquantForeign","298","12590","4703"
"manhattanly","82","129096","110408"
"manifestoR","652","13634","5980"
"manipulateWidget","343","21463","10251"
"MANOVA.RM","15","6213","622"
"mapdeck","559","54829","26544"
"mapedit","234","6493","1707"
"mapr","123","8667","3580"
"mapsapi","26","3684","1042"
"mapview","1484","1648109","207989"
"mar1s","7","1637","16"
"margins","371","36579","18852"
"markdown","322","14925","4515"
"markovchain","721","66712","34991"
"MarkowitzR","62","14328","2247"
"marmap","147","16151","9747"
"maSAE","17","25575","25574"
"mason","178","13631","2827"
"matchbook","62","2495","681"
"matchingR","528","17516","14500"
"mateable","369","15005","8228"
"mathpix","39","1110","245"
"matlib","298","38624","5131"
"matR","325","45278","32841"
"Matrix.utils","18","1728","757"
"matrixpls","325","41482","28018"
"matrixProfile","1","2","0"
"matrixsampling","49","4271","1311"
"matrixStats","1333","105916","68681"
"matrixTests","136","11352","6556"
"matsbyname","731","53120","20217"
"matsindf","258","17845","7285"
"mau","382","14423","9572"
"maxnet","27","596","50"
"MazamaCoreUtils","17","8767","286"
"MazamaSpatialUtils","254","60962","32941"
"MazamaWebUtils","24","2753","318"
"mazealls","134","13177","3038"
"mbbefd","214","15874","4632"
"mbest","178","12570","5421"
"MBmca","27","4681","1502"
"mboost","1197","371522","68144"
"mboxr","29","9250","4954"
"mcca","25","3782","1010"
"MCDA","165","38596","8423"
"mclogit","89","5415","2114"
"mcmc","20","11280","701"
"MCMCprecision","55","6139","1934"
"mcmcr","348","49737","25896"
"MCMCvis","541","24948","17125"
"mcMST","138","7336","2961"
"Mcomp","49","79020","74407"
"mcparallelDo","29","1428","860"
"md.log","18","856","320"
"mdftracks","39","2371","402"
"mdmb","45","17137","8143"
"MDMR","70","7266","3445"
"MDplot","154","810963","653274"
"meanr","87","156230","80531"
"medflex","83","18785","6543"
"Mediana","82","29762","10051"
"medicalrisk","11","2793","34"
"medicare","79","23835","720"
"meditations","13","6693","89"
"medmod","9","2496","73"
"meetupapi","12","683","107"
"mefa","639","76246","27279"
"mefa4","702","79063","31122"
"MEGENA","8","8230","38"
"meifly","24","1322","755"
"mem","249","16442","7875"
"memapp","406","43656","27128"
"meme","61","1854","672"
"memery","179","8809","1653"
"memisc","462","49527","21653"
"memoise","201","4113","1549"
"memor","73","9882","5720"
"memuse","352","37413","16750"
"mephas","76","28470","21534"
"MESS","220","34642","5276"
"messaging","71","2267","674"
"meta","218","94980","49368"
